"","id","file.name","mean.d","median.d","sd.d","start.end.d","total.d","stops","unique.stops","trip.length"
"1",2,1,6.1015997366861,2.28035085019828,6.44710889795877,2714.76651850578,3758.58543779864,169,86,617
"2",2,10,0.87428721016284,0,2.02938087148495,420.244524057126,935.487314874238,1166,195,1071
"3",2,100,16.1452152073007,18.8215302247186,6.93684875127692,10229.3738508278,14982.759712375,110,33,929
"4",2,101,14.4442729799083,16.888161534045,6.51273873958645,8870.01359299973,10703.206278112,63,44,742
"5",2,102,7.24423344618587,7.04343666117605,6.2081423734442,2173.96662807873,2745.56447610445,162,69,380
"6",2,103,12.9250326280826,15.786703265723,7.13396791606448,8550.68118982342,10275.4009393257,94,39,796
"7",2,104,4.92735728081465,2.19999999999999,6.52968884753608,1392.28592609421,2310.93056470207,132,65,470
"8",2,105,2.73750138115262,0.707106781186536,2.99485022441041,298.001963080782,665.212835620086,133,46,244
"9",2,106,14.1440540465549,16.9121251658075,6.83491989478224,8769.06033392404,10608.0405349162,83,29,751
"10",2,107,11.7855043394426,13.5959552808909,7.86025701930838,10210.3584819535,17572.1869701089,304,93,1492
"11",2,108,13.7732751116198,15.6424098682951,5.32985760773079,9982.52434657687,15123.0560725586,107,16,1099
"12",2,109,5.44927793991692,6.43506021727845,3.71217575680171,112.549944469111,1563.94276875616,71,25,288
"13",2,11,9.06893396369743,10.316006979447,6.1249652160217,1460.95700484306,2203.75095317848,93,10,244
"14",2,110,11.9389128086728,14.2091515446077,5.23677105196223,5395.46867009716,5873.94510186703,62,22,493
"15",2,111,6.33178187984319,4.93355855341759,5.24784365020539,487.235671928893,1576.61368808096,50,7,250
"16",2,112,11.5689874435774,14.1014023202127,5.83834241940993,3608.16787303473,4419.35320344656,65,21,383
"17",2,113,13.2613143980187,16.2289864132052,7.00781130599885,3553.63827225,4442.54032333627,50,28,336
"18",2,114,9.8907823630013,5.95002619339476,9.80456135185744,5516.9700561087,6033.37724143079,221,68,611
"19",2,115,12.4396893031742,15.2146252946159,6.46782193681528,8634.85343477236,10125.9070927838,176,66,815
"20",2,116,13.2818641720498,18.0391174693496,8.4647001347656,3097.09853411221,3957.99552327083,60,19,299
"21",2,117,12.2944578238939,14.0431477952776,4.91066671157731,8829.2655640206,10487.1725237815,137,21,854
"22",2,118,4.87273259061112,1.99248588451713,5.32447431015563,759.926114829593,1427.71064904906,147,53,294
"23",2,119,4.47520513992642,0.942188342330546,4.87149890987824,710.303801200585,1978.04067184748,320,72,443
